datetime_beginning_ept,mkt_region,zone,mw_sum
2026-01-01 22:00:00,MIDATL,AE,1282.207
2026-01-01 22:00:00,MIDATL,BC,4319.36
2026-01-01 22:00:00,MIDATL,DPL,2868.924
2026-01-01 22:00:00,MIDATL,JC,2901.96
2026-01-01 22:00:00,MIDATL,ME,1990.503
2026-01-01 22:00:00,MIDATL,PE,5016.527
2026-01-01 22:00:00,MIDATL,PEP,3874.712
2026-01-01 22:00:00,MIDATL,PL,5646.722
2026-01-01 22:00:00,MIDATL,PN,2132.529
2026-01-01 22:00:00,MIDATL,PS,5435.946
2026-01-01 22:00:00,MIDATL,RECO,167.246
2026-01-01 22:00:00,RTO,RTO,105877.769
2026-01-01 22:00:00,SOUTH,DOM,17718.544
2026-01-01 22:00:00,WEST,AEP,17669.366
2026-01-01 22:00:00,WEST,AP,6990.983
2026-01-01 22:00:00,WEST,ATSI,7861.007
2026-01-01 22:00:00,WEST,CE,11316.078
2026-01-01 22:00:00,WEST,DAY,2038.743
2026-01-01 22:00:00,WEST,DEOK,2992.231
2026-01-01 22:00:00,WEST,DUQ,1625.112
2026-01-01 22:00:00,WEST,EKPC,1986.069
2026-01-01 22:00:00,WEST,OVEC,43.0
2026-01-01 23:00:00,MIDATL,AE,1208.6329999999998
2026-01-01 23:00:00,MIDATL,BC,4110.271
2026-01-01 23:00:00,MIDATL,DPL,2727.245
2026-01-01 23:00:00,MIDATL,JC,2736.608
2026-01-01 23:00:00,MIDATL,ME,1907.811
2026-01-01 23:00:00,MIDATL,PE,4893.904
2026-01-01 23:00:00,MIDATL,PEP,3678.135
2026-01-01 23:00:00,MIDATL,PL,5434.061
